"Entry ID","Deposition Date","Release Date","PDB ID",
"6LAO","2019-11-12","2020-10-07","6LAO",
"6LA3","2019-11-11","2020-10-07","6LA3",
"6LA4","2019-11-11","2020-10-07","6LA4",
"6L4R","2019-10-21","2020-06-10","6L4R",
"6T6R","2019-10-18","2020-03-18","6T6R",
"7F0L","2021-06-05","2021-11-10","7F0L",
"6SNB","2019-08-23","2020-01-15","6SNB",
"6SMG","2019-08-21","2020-01-15","6SMG",
"7ECY","2021-03-13","2021-03-31","7ECY",
"7EBZ","2021-03-11","2021-03-31","7EBZ",
"7EBR","2021-03-10","2021-03-31","7EBR",
"7EAI","2021-03-07","2021-07-14","7EAI",
"7EAH","2021-03-07","2021-07-14","7EAH",
"7EAJ","2021-03-07","2021-07-14","7EAJ",
"6JHS","2019-02-19","2020-03-18","6JHS",
"6JHT","2019-02-19","2020-03-18","6JHT",
"6JHQ","2019-02-18","2020-03-18","6JHQ",
"6JHR","2019-02-18","2020-03-18","6JHR",
"7DPG","2020-12-18","2021-05-05","7DPG",
"7DQ4","2020-12-22","2021-05-05","7DQ4",
"6ZU5","2020-07-21","2020-11-04","6ZU5",
"6ZQW","2020-07-10","2021-01-20","6ZQW",
"6ZQJ","2020-07-09","2021-01-20","6ZQJ",
"6ZQI","2020-07-09","2021-01-20","6ZQI",
